Day;Rate_Price
602;3.8176
603;3.7941
604;3.7772
605;3.7826
606;3.7616
607;3.7994
608;3.843
609;3.8501
610;3.762
611;3.702
612;3.6134
613;3.5934
614;3.5764
615;3.5737
616;3.5338
617;3.5192
618;3.5318
619;3.5329
620;3.5135
621;3.5041
622;3.5077
623;3.5055
624;3.51
625;3.5116
626;3.4947
627;3.494
628;3.5157
629;3.4786
630;3.4721
631;3.5172
632;3.4524
633;3.3669
634;3.4307
635;3.5102
636;3.5344
637;3.5067
638;3.4483
639;3.4174
640;3.4199
641;3.418
642;3.4403
643;3.4047
644;3.3824
645;3.3584
646;3.3743
647;3.3835
648;3.3105
649;3.3055
650;3.2713
651;3.2787
652;3.2588
653;3.2048
654;3.1865
655;3.1736
656;3.1532
657;3.1348
658;3.1125
659;3.1117
660;3.0981
661;3.1024
662;3.0998
663;3.0998
664;3.0776
665;3.0779
666;3.0724
667;3.0736
668;3.0675
669;3.0785
670;3.0928
671;3.0957
672;3.0866
673;3.0967
674;3.0805
675;3.0808
676;3.0585
677;3.0505
678;3.0506
679;3.0537
680;3.0293
681;3.0036
682;3.0004
683;2.9959
684;2.9764
685;2.9709
686;2.9846
687;2.9474
688;2.9468
689;2.9739
690;2.9741
691;2.974
692;2.9678
693;2.9552
694;2.9344
695;2.9286
696;2.9389
697;2.9441
698;2.9586
699;2.9558
700;2.9544
701;2.9545
702;2.9337
703;2.939
704;2.9533
705;2.9359
706;2.9444
707;2.9355
708;2.923
709;2.9339
710;2.9297
711;2.951
712;2.9558
713;2.9621
714;2.9553
715;2.9781
716;2.9846
717;2.9996
718;3.0213
719;3.0075
720;2.9926
721;2.9797
722;3.0125
723;3.0167
724;3.0377
725;3.0353
726;3.0317
727;3.0573
728;3.0727
729;3.0281
730;2.9766
731;2.9485
732;2.8834
733;2.8913
734;2.8947
735;2.8885
736;2.8981
737;2.9214
738;2.8846
739;2.8846
740;2.8848
741;2.8936
742;2.913
743;2.9365
744;2.9266
745;2.8799
746;2.9055
747;2.8962
748;2.8984
749;2.93
750;2.9296
751;2.9269
752;2.9304
753;2.9219
754;2.91
755;2.8941
756;2.8894
757;2.8978
758;2.908
759;2.9462
760;2.9393
761;2.9489
762;2.9515
763;2.956
764;2.9399
765;2.9349
766;2.9426
767;2.9821
768;2.9826
769;2.9768
770;2.9777
771;2.9645
772;2.9711
773;2.9587
774;2.9489
775;2.9623
776;2.938
777;2.9229
778;2.9197
779;2.9201
780;2.859
781;2.8065
782;2.7928
783;2.8014
784;2.815
785;2.8175
786;2.8345
787;2.8457
788;2.8287
789;2.821
790;2.8276
791;2.8329
792;2.8519
793;2.8545
794;2.8591
795;2.8482
796;2.827
797;2.8338
798;2.8569
799;2.8428
800;2.8412
801;2.8277
802;2.8189
803;2.8197
804;2.8249
805;2.8334
806;2.8695
807;2.8733
808;2.8705
809;2.8789
810;2.8693
811;2.8723
812;2.8695
813;2.8554
814;2.8558
815;2.9084
816;2.8852
817;2.8796
818;2.8734
819;2.8875
820;2.9081
821;2.9201
822;2.9201
823;2.9147
824;2.9215
825;2.9372
826;2.9451
827;2.9612
828;2.9293
829;2.9295
830;2.9386
831;2.9358
832;2.9449
833;2.9658
834;2.9606
835;2.9639
836;2.9517
837;2.9441
838;2.9228
839;2.9287
840;2.9239
841;2.9471
842;2.9295
843;2.9051
844;2.9044
845;2.9478
846;2.9524
847;2.9671
848;2.9609
849;2.9788
850;2.9978
851;3.0208
852;3.0097
853;3.0107
854;3.0387
855;3.0496
856;3.0243
857;3.0367
858;3.0362
859;3.0273
860;3.0138
861;3.0322
862;3.0188
863;2.9876
864;3.0167
865;3.004
866;2.975
867;2.9422
868;2.9181
869;2.9076
870;2.9084
871;2.9157
872;2.9123
873;2.9187
874;2.9262
875;2.9248
876;2.9068
877;2.9229
878;2.9311
879;2.9631
880;2.9701
881;2.9667
882;2.9456
883;2.9099
884;2.9107
885;2.9123
886;2.8897
887;2.8921
888;2.8814
889;2.8771
890;2.8923
891;2.9109
892;2.9195
893;2.9009
894;2.8813
895;2.8689
896;2.8433
897;2.8303
898;2.8491
899;2.8648
900;2.8719
901;2.8775
902;2.8686
903;2.8768
904;2.8911
905;2.9104
906;2.9192
907;2.8724
908;2.8679
909;2.8362
910;2.8285
911;2.8035
912;2.9149
913;2.8943
914;2.8943
915;2.8909
916;2.8667
917;2.889
918;2.9027
919;2.8954
920;2.8881
921;2.8926
922;2.884
923;2.9416
924;2.9421
925;2.9233
926;2.896
927;2.9357
928;2.938
929;2.9879
930;2.9924
931;3.0236
932;3.0174
933;3.0251
934;3.0433
935;3.0464
936;3.0069
937;3.0069
938;2.9978
939;2.9961
940;3.0143
941;3.0119
942;3.0435
943;3.0599
944;3.0341
945;3.0402
946;3.0039
947;3.0145
948;3.0285
949;2.9774
950;2.9561
951;2.94
952;2.9147
953;2.9179
954;2.9146
955;2.9099
956;2.9347
957;2.9258
958;2.9477
959;2.9156
960;2.9677
961;2.9009
962;2.873
963;2.8484
964;2.8316
965;2.783
966;2.7775
967;2.7674
968;2.7859
969;2.779
970;2.783
971;2.7847
972;2.7688
973;2.7736
974;2.7839
975;2.7745
976;2.7634
977;2.7551
978;2.7567
979;2.7371
980;2.7194
981;2.704
982;2.6869
983;2.6757
984;2.6376
985;2.6376
986;2.6363
987;2.6556
988;2.6607
989;2.6751
990;2.6894
991;2.6792
992;2.6899
993;2.6876
994;2.6992
995;2.6753
996;2.685
997;2.6863
998;2.6587
999;2.6638
1000;2.677
1001;2.671
1002;2.6786
1003;2.7144
1004;2.7121
1005;2.7344
1006;2.7408
1007;2.7324
1008;2.7134
1009;2.7388
1010;2.7356
1011;2.7477
1012;2.7694
1013;2.6636
1014;2.6931
1015;2.6813
1016;2.6782
1017;2.6762
1018;2.6587
1019;2.6533
1020;2.6423
1021;2.6278
1022;2.6063
1023;2.5912
1024;2.5669
1025;2.6018
1026;2.5781
1027;2.5871
1028;2.6153
1029;2.6531
1030;2.689
1031;2.6949
1032;2.686
1033;2.7
1034;2.7072
1035;2.7095
1036;2.7109
1037;2.6559
1038;2.6644
1039;2.6773
1040;2.7243
1041;2.722
1042;2.6879
1043;2.6991
1044;2.6907
1045;2.6821
1046;2.6969
1047;2.6965
1048;2.6725
1049;2.6464
1050;2.6243
1051;2.5941
1052;2.5877
1053;2.5789
1054;2.5674
1055;2.5905
1056;2.5938
1057;2.6008
1058;2.6134
1059;2.6102
1060;2.6107
1061;2.5962
1062;2.5555
1063;2.5505
1064;2.5699
1065;2.5938
1066;2.5926
1067;2.6178
1068;2.615
1069;2.6208
1070;2.613
1071;2.5889
1072;2.6191
1073;2.627
1074;2.6047
1075;2.598
1076;2.5816
1077;2.5409
1078;2.5187
1079;2.5119
1080;2.5077
1081;2.4786
1082;2.4598
1083;2.4766
1084;2.4772
1085;2.4531
1086;2.4418
1087;2.4612
1088;2.4482
1089;2.4525
1090;2.4677
1091;2.4886
1092;2.4896
1093;2.4796
1094;2.4857
1095;2.4342
1096;2.4441
1097;2.4098
1098;2.415
1099;2.4236
1100;2.4176
1101;2.4013
1102;2.3621
1103;2.3561
1104;2.3597
1105;2.3337
1106;2.3465
1107;2.3393
1108;2.3358
1109;2.3382
1110;2.3084
1111;2.2803
1112;2.2927
1113;2.2778
1114;2.2891
1115;2.3005
1116;2.3076
1117;2.3255
1118;2.3277
1119;2.3411
1120;2.3449
1121;2.3269
1122;2.3189
1123;2.3235
1124;2.3182
1125;2.3177
1126;2.3209
1127;2.3165
1128;2.317
1129;2.3221
1130;2.323
1131;2.3653
1132;2.3671
1133;2.3184
1134;2.2782
1135;2.2599
1136;2.2605
1137;2.2591
1138;2.2727
1139;2.2358
1140;2.2363
1141;2.2353
1142;2.2196
1143;2.2201
1144;2.2102
1145;2.2149
1146;2.2214
1147;2.2282
1148;2.226
1149;2.2218
1150;2.2317
1151;2.2275
1152;2.2205
1153;2.2285
1154;2.2419
1155;2.245
1156;2.258
1157;2.2636
1158;2.2469
1159;2.2707
1160;2.2387
1161;2.2349
1162;2.2236
1163;2.225
1164;2.2027
1165;2.2171
1166;2.2357
1167;2.2357
1168;2.2378
1169;2.2386
1170;2.2444
1171;2.2396
1172;2.2452
1173;2.2509
1174;2.2729
1175;2.2696
1176;2.2783
1177;2.2701
1178;2.2789
1179;2.2573
1180;2.288
1181;2.273
1182;2.273
1183;2.2829
1184;2.2772
1185;2.2789
1186;2.2557
1187;2.2482
1188;2.2325
1189;2.2319
1190;2.24
1191;2.2232
1192;2.2223
1193;2.2058
1194;2.2092
1195;2.2144
1196;2.2014
1197;2.1924
1198;2.2022
1199;2.1901
1200;2.1627
1201;2.1635
1202;2.1564
1203;2.1617
1204;2.1673
1205;2.1605
1206;2.1584
1207;2.1619
1208;2.1581
1209;2.1687
1210;2.1776
1211;2.1767
1212;2.1764
1213;2.168
1214;2.1632
1215;2.1681
1216;2.1561
1217;2.1557
1218;2.1588
1219;2.1612
1220;2.1489
1221;2.1683
1222;2.1586
1223;2.1619
1224;2.1263
1225;2.1313
1226;2.1446
1227;2.1333
1228;2.0919
1229;2.0903
1230;2.092
1231;2.1179
1232;2.1175
1233;2.1266
1234;2.1221
1235;2.1228
1236;2.12
1237;2.1177
1238;2.1221
1239;2.1232
1240;2.1237
1241;2.1252
1242;2.1316
1243;2.1282
1244;2.1314
1245;2.1273
1246;2.1194
1247;2.1226
1248;2.1234
1249;2.1292
1250;2.1384
1251;2.1312
1252;2.1392
1253;2.1373
1254;2.1268
1255;2.1434
1256;2.1345
1257;2.1376
1258;2.1198
1259;2.1058
1260;2.0914
1261;2.0866
1262;2.078
1263;2.0897
1264;2.1088
1265;2.1199
1266;2.1016
1267;2.096
1268;2.0916
1269;2.0922
1270;2.1045
1271;2.0973
1272;2.0848
1273;2.0845
1274;2.0921
1275;2.1072
1276;2.1046
1277;2.0981
1278;2.077
1279;2.0711
1280;2.0712
1281;2.0755
1282;2.0766
1283;2.0746
1284;2.0923
1285;2.0932
1286;2.0966
1287;2.1073
1288;2.1154
1289;2.118
1290;2.1313
1291;2.1339
1292;2.1387
1293;2.1372
1294;2.133
1295;2.1284
1296;2.1302
1297;2.1322
1298;2.1263
1299;2.1268
1300;2.1177
1301;2.0993
1302;2.1046
1303;2.0941
1304;2.1183
1305;2.1354
1306;2.1355
1307;2.1311
1308;2.1492
1309;2.1557
1310;2.1898
1311;2.1912
1312;2.2121
1313;2.2319
1314;2.237
1315;2.235
1316;2.2373
1317;2.2212
1318;2.2224
1319;2.2216
1320;2.2322
1321;2.2244
1322;2.2459
1323;2.222
1324;2.2118
1325;2.1873
1326;2.1999
1327;2.2074
1328;2.2119
1329;2.2185
1330;2.2129
1331;2.2342
1332;2.2081
1333;2.2046
1334;2.1806
1335;2.1972
1336;2.2081
1337;2.1881
1338;2.179
1339;2.181
1340;2.1845
1341;2.2003
1342;2.1923
1343;2.2024
1344;2.2247
1345;2.2169
1346;2.2249
1347;2.2393
1348;2.256
1349;2.2634
1350;2.2696
1351;2.2795
1352;2.2234
1353;2.2658
1354;2.3428
1355;2.3142
1356;2.2741
1357;2.2551
1358;2.2415
1359;2.2385
1360;2.2084
1361;2.206
1362;2.1911
1363;2.1909
1364;2.1719
1365;2.176
1366;2.1845
1367;2.1757
1368;2.1723
1369;2.1878
1370;2.1687
1371;2.1718
1372;2.1304
1373;2.1343
1374;2.1604
1375;2.0957
1376;2.071
1377;2.0812
1378;2.0877
1379;2.089
1380;2.0608
1381;2.0423
1382;2.0372
1383;2.0337
1384;2.0404
1385;2.037
1386;2.0294
1387;2.0265
1388;2.0313
1389;2.0394
1390;2.0482
1391;2.0455
1392;2.0359
1393;2.0282
1394;2.0174
1395;2.0166
1396;2.0154
1397;2.0071
1398;1.9969
1399;2.0164
1400;2.0181
1401;2.0098
1402;2.0169
1403;2.0201
1404;2.0374
1405;2.0442
1406;2.0516
1407;2.05
1408;2.0358
1409;2.0265
1410;2.0306
1411;2.0262
1412;2.0235
1413;2.0178
1414;2.0063
1415;1.9895
1416;1.9888
1417;1.9853
1418;1.9853
1419;1.976
1420;1.9738
1421;1.9802
1422;1.9746
1423;1.9764
1424;1.9764
1425;1.9775
1426;1.9871
1427;1.9875
1428;1.9961
1429;1.9964
1430;1.9989
1431;2.0187
1432;2.0102
1433;2.0365
1434;2.0342
1435;2.0123
1436;2.0034
1437;1.9946
1438;1.9856
1439;1.972
1440;1.9522
1441;2.0023
1442;2.0045
1443;1.9927
1444;2.0257
1445;2.0213
1446;2.0137
1447;2.0285
1448;2.0383
1449;2.063
1450;2.0732
1451;2.054
1452;2.0415
1453;2.016
1454;2.0311
1455;2.0557
1456;2.0225
1457;1.9951
1458;1.9849
1459;1.9835
1460;1.958
1461;1.948
1462;1.9468
1463;1.9342
1464;1.9286
1465;1.9358
1466;1.9255
1467;1.9231
1468;1.9292
1469;1.9292
1470;1.9282
1471;1.9453
1472;1.9349
1473;1.9309
1474;1.9241
1475;1.9235
1476;1.9201
1477;1.9247
1478;1.9068
1479;1.9117
1480;1.9151
1481;1.9213
1482;1.9164
1483;1.9252
1484;1.9276
1485;1.9409
1486;1.9573
1487;1.94
1488;1.9436
1489;1.9386
1490;1.951
1491;1.9474
1492;1.9482
1493;1.9477
1494;1.9216
1495;1.9235
1496;1.9248
1497;1.9272
1498;1.932
1499;1.9339
1500;1.9407
1501;1.9312
1502;1.9166
1503;1.8811
1504;1.8758
1505;1.8654
1506;1.8534
1507;1.868
1508;1.8758
1509;1.8943
1510;1.8941
1511;1.8862
1512;1.886
1513;1.8796
1514;1.8745
1515;1.8902
1516;1.8842
1517;1.8661
1518;1.8642
1519;1.8487
1520;1.8442
1521;1.8433
1522;1.8502
1523;1.8401
1524;1.8475
1525;1.8428
1526;1.8343
1527;1.8227
1528;1.8201
1529;1.8102
1530;1.8059
1531;1.8001
1532;1.7899
1533;1.7938
1534;1.7991
1535;1.7947
1536;1.7942
1537;1.7927
1538;1.7963
1539;1.7953
1540;1.8004
1541;1.799
1542;1.8034
1543;1.8016
1544;1.7965
1545;1.7944
1546;1.7887
1547;1.7921
1548;1.789
1549;1.7883
1550;1.7849
1551;1.7834
1552;1.783
1553;1.7881
1554;1.8007
1555;1.8075
1556;1.8061
1557;1.8049
1558;1.8099
1559;1.8087
1560;1.8137
1561;1.8176
1562;1.8168
1563;1.814
1564;1.8174
1565;1.8151
1566;1.8187
1567;1.8151
1568;1.8137
1569;1.8085
1570;1.8129
1571;1.806
1572;1.8021
1573;1.8028
1574;1.7949
1575;1.7969
1576;1.7914
1577;1.7949
1578;1.8021
1579;1.801
1580;1.7955
1581;1.805
1582;1.8069
1583;1.7961
1584;1.7904
1585;1.7911
1586;1.776
1587;1.7698
1588;1.7651
1589;1.7675
1590;1.7619
1591;1.759
1592;1.7667
1593;1.7647
1594;1.7635
1595;1.7601
1596;1.7569
1597;1.7509
1598;1.7459
1599;1.7462
1600;1.7548
1601;1.7588
1602;1.7629
1603;1.7597
1604;1.7571
1605;1.7625
1606;1.7622
1607;1.7572
1608;1.754
1609;1.7496
1610;1.751
1611;1.762
1612;1.7629
1613;1.7612
1614;1.7624
1615;1.7668
1616;1.7692
1617;1.7705
1618;1.7736
1619;1.78
1620;1.7729
1621;1.7708
1622;1.7776
1623;1.7826
1624;1.7829
1625;1.7848
1626;1.7877
1627;1.7893
1628;1.7869
1629;1.7763
1630;1.7721
1631;1.7745
1632;1.7747
1633;1.7738
1634;1.7706
1635;1.7708
1636;1.7771
1637;1.7828
1638;1.7829
1639;1.7809
1640;1.7764
1641;1.7773
1642;1.7791
1643;1.7774
1644;1.7797
1645;1.7844
1646;1.7856
1647;1.7864
1648;1.7902
1649;1.7909
1650;1.7905
1651;1.7908
1652;1.7932
1653;1.7928
1654;1.7919
1655;1.7936
1656;1.7968
1657;1.7883
1658;1.7808
1659;1.7761
1660;1.7681
1661;1.7682
1662;1.7802
1663;1.7819
1664;1.7842
1665;1.7853
1666;1.7928
1667;1.7915
1668;1.7915
1669;1.7863
1670;1.789
1671;1.7913
1672;1.7927
1673;1.8004
1674;1.8008
1675;1.7989
1676;1.8039
1677;1.8082
1678;1.8062
1679;1.8011
1680;1.7893
1681;1.7973
1682;1.7845
1683;1.7843
1684;1.7881
1685;1.7847
1686;1.782
1687;1.7852
1688;1.7859
1689;1.7915
1690;1.7866
1691;1.7928
1692;1.7838
1693;1.7933
1694;1.7888
1695;1.7862
1696;1.8011
1697;1.7932
1698;1.7949
1699;1.7921
1700;1.7981
1701;1.8097
1702;1.8152
1703;1.8092
1704;1.8119
1705;1.8111
1706;1.807
1707;1.7928
1708;1.7916
1709;1.7903
1710;1.7844
1711;1.7868
1712;1.79
1713;1.7896
1714;1.7933
1715;1.786
1716;1.782
1717;1.7812
1718;1.7758
1719;1.7808
1720;1.7733
1721;1.7708
1722;1.7795
1723;1.7896
1724;1.7856
1725;1.7864
1726;1.8011
1727;1.81
1728;1.8142
1729;1.8161
1730;1.8162
1731;1.8101
1732;1.7967
1733;1.7939
1734;1.7997
1735;1.8003
1736;1.8048
1737;1.8097
1738;1.8077
1739;1.8012
1740;1.8106
1741;1.8134
1742;1.8095
1743;1.8008
1744;1.7933
1745;1.7925
1746;1.7992
1747;1.8065
1748;1.8153
1749;1.8011
1750;1.8111
1751;1.8123
1752;1.7978
1753;1.7895
1754;1.7845
1755;1.7977
1756;1.8015
1757;1.8066
1758;1.8141
1759;1.8164
1760;1.8198
1761;1.8083
1762;1.8269
1763;1.8193
1764;1.8311
1765;1.8419
1766;1.843
1767;1.8589
1768;1.8404
1769;1.8307
1770;1.8269
1771;1.8256
1772;1.8319
1773;1.839
1774;1.8387
1775;1.817
1776;1.8207
1777;1.8236
1778;1.816
1779;1.8169
1780;1.797
1781;1.7985
1782;1.7797
1783;1.7788
1784;1.78
1785;1.7555
1786;1.7567
1787;1.7483
1788;1.7511
1789;1.7515
1790;1.7489
1791;1.7535
1792;1.7569
1793;1.7661
1794;1.7798
1795;1.7829
1796;1.78
1797;1.7827
1798;1.7824
1799;1.7925
1800;1.7832
1801;1.7916
1802;1.7981
1803;1.7921
1804;1.7887
1805;1.7837
1806;1.7864
1807;1.7816
1808;1.7694
1809;1.7723
1810;1.7729
1811;1.7717
1812;1.7738
1813;1.7762
1814;1.7859
1815;1.7918
1816;1.8018
1817;1.8054
1818;1.8075
1819;1.7971
1820;1.79
1821;1.7954
1822;1.7849
1823;1.7829
1824;1.7875
1825;1.7735
1826;1.766
1827;1.7784
1828;1.7762
1829;1.7635
1830;1.7537
1831;1.7438
1832;1.7375
1833;1.7485
1834;1.7636
1835;1.7533
1836;1.7508
1837;1.7424
1838;1.7393
1839;1.734
1840;1.7505
1841;1.7676
1842;1.7519
1843;1.7601
1844;1.7476
1845;1.7541
1846;1.7447
1847;1.7379
1848;1.7485
1849;1.7557
1850;1.7457
1851;1.7531
1852;1.7596
1853;1.764
1854;1.7819
1855;1.7757
1856;1.7885
1857;1.8167
1858;1.8152
1859;1.8203
1860;1.8209
1861;1.8226
1862;1.8306
1863;1.8313
1864;1.8447
1865;1.8427
1866;1.838
1867;1.8538
1868;1.8624
1869;1.8628
1870;1.8696
1871;1.8736
1872;1.8619
1873;1.8777
1874;1.8768
1875;1.8889
1876;1.9065
1877;1.8897
1878;1.8847
1879;1.8833
1880;1.8809
1881;1.8779
1882;1.8699
1883;1.8893
1884;1.8797
1885;1.8695
1886;1.8694
1887;1.8726
1888;1.8588
1889;1.848
1890;1.8391
1891;1.8224
1892;1.8225
1893;1.8297
1894;1.8214
1895;1.8142
